,Mean,Std,Beta,SE,t Stat,R2,CAPM Ret,Obs
WALMART,0.12049225000000001,0.1668985958774635,0.37379359468835194,0.09356603362549142,3.9949710402869365,0.10103706296210924,0.023124082397845087,144.0
MERCK,0.11590958333333334,0.17560522773551296,0.4512706770811695,0.09667991440011954,4.667677664809885,0.13302146209329324,0.02169889469490294,144.0
MCDONALDS,0.16176158333333335,0.14659978626564324,0.478201297393496,0.07683318781447354,6.223889844948152,0.2143271529253551,0.021203507056179856,144.0
COKE,0.10425200000000001,0.15431701584353277,0.5564507669869014,0.07839056669974352,7.098440417177415,0.26190767603814713,0.01976411132286033,144.0
JOHNSON,0.12226258333333331,0.14841193122573829,0.5960105742451026,0.07210431231936293,8.26594908228602,0.3248573266911893,0.0190364103163963,144.0
PFIZER,0.15867325000000002,0.1982369072075065,0.6666104612349394,0.10300358337265782,6.471721074238767,0.22777056121275507,0.017737728336389938,144.0
INTEL,0.1344005,0.2313197002640993,0.7311773203571487,0.12223958320367727,5.981510253833662,0.20125308728184932,0.016550023652674314,144.0
IBM,0.05950274999999999,0.20500952045996676,0.9013586731668408,0.09472300690013127,9.515731211079107,0.3893763713510977,0.013419544757447912,144.0
MICROSOFT,0.24562716666666667,0.21266062355616838,0.9188827810994135,0.0993229794028162,9.251462115053704,0.3760697746889812,0.013097189522077706,144.0
3M,0.107959,0.18254530633817428,0.9513395342808233,0.07263990888960495,13.09665098460722,0.5470816112901888,0.012500148899444993,144.0
NETFLIX,0.5078725,0.5521966399143319,0.9562564120205982,0.31648884547564393,3.0214537595581357,0.06040648570138729,0.012409703138257597,144.0
APPLE,0.31495416666666665,0.27005991405285495,1.0499883944827308,0.1331701464834342,7.884562885971932,0.30448865551656346,0.01068550722571502,144.0
AMAZON,0.30871933333333335,0.2823551302467055,1.0577771128322242,0.14139759327546517,7.4808707017488265,0.28269578607562806,0.010542234076151933,144.0
EXXON,0.05531291666666667,0.22467833393651673,1.0961131196873246,0.0958521969621654,11.435451188666862,0.4794140211705362,0.009837044827119758,144.0
FACEBOOK,0.3133812521739131,0.3488047891327948,1.1047870847104675,0.2243559099694922,4.924261120915851,0.17667496923122672,0.009677487601874018,115.0
SALESFORCE,0.26181716666666666,0.2943053221309921,1.1089163679554987,0.14704502578747886,7.54133886554036,0.28597213986899783,0.009601529608606461,144.0
DISNEY,0.17046125,0.2384810840127511,1.195019335289585,0.09913051292493345,12.055010107680095,0.5057831527382878,0.008017669111521644,144.0
BOEING,0.18399325,0.32170036075662983,1.2804570914556876,0.1569576830412345,8.15797651090006,0.3191165533041823,0.006446045146159377,144.0
ASML,0.30765475,0.2700066620594467,1.2824975481988619,0.11791966628324285,10.876027626454647,0.4544504065302176,0.006408511029373547,144.0
NVIDIA,0.4425555,0.42513605275722377,1.3794622496639581,0.22313385501481148,6.182218514408718,0.21207336983455527,0.004624849385445631,144.0
