date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART
20120531,-0.048791,-0.081889,-0.010702,-0.101589,-0.087891,-0.020833,0.060311,-0.082696,,-0.064371,-0.082585,-0.031644,-0.076039,-0.042304,-0.081993,-0.208385,-0.043846,-0.035371,-0.10987,0.124045
20120629,0.061486,0.072519,0.010853,0.122462,0.067375,0.053125,0.061037,0.088262,0.050507,0.013893,0.031347,0.082172,-0.009066,0.122139,0.047962,0.079524,0.111826,0.051669,-0.002597,0.059253
20120731,0.018192,0.021677,0.045822,0.118242,-0.005249,0.03338,0.013196,0.014958,-0.301817,0.002045,-0.035647,0.024571,0.009375,0.057964,-0.036613,-0.169891,-0.02026,0.045217,-0.100535,0.067556
20120831,0.021484,0.064166,0.093539,-0.012696,-0.028007,-0.074257,0.006716,0.011744,-0.168217,-0.001429,-0.025097,-0.017047,0.009288,-0.025357,0.052596,0.050484,0.036189,0.001664,0.167417,-0.019246
20120928,-0.001944,0.024369,0.002803,-0.05443,-0.02528,0.020989,0.056802,0.047537,0.199468,0.064665,-0.087596,0.021949,0.025254,0.057259,-0.034393,-0.088413,-0.04918,0.041492,0.051729,0.016529
20121031,-0.052153,-0.084252,-0.107607,0.024218,0.012142,-0.019773,-0.060444,-0.003062,-0.025392,-0.06228,-0.045244,0.027717,-0.053951,0.011864,-0.040995,0.455536,-0.102324,0.000805,-0.043945,0.016531
20121130,0.044977,0.082256,-0.012413,0.092191,0.060761,0.026762,0.010994,-0.026983,0.326386,-0.018558,-0.085067,-0.006778,0.011636,-0.029148,-0.05939,0.031179,0.005846,0.014877,0.080079,-0.039989
20121231,0.020891,-0.004682,-0.090738,0.029087,0.01454,-0.04404,0.017721,-0.018039,-0.049296,0.007787,0.053923,0.005306,0.013442,-0.06614,0.003558,0.133154,0.024227,0.00237,0.066151,-0.047105
20130131,0.08293,0.058317,-0.144094,0.166175,-0.019772,0.02731,0.082145,0.039515,0.163837,0.060141,0.020369,0.054494,0.080263,0.056424,0.027717,0.784642,0,0.097319,0.023974,0.025209
20130228,0.040627,-0.004633,-0.025116,-0.054734,0.047584,0.039742,0.013177,0.001667,-0.120429,-0.006845,0.003089,0.037879,0.014482,-0.012023,0.021129,0.138223,0.038744,0.003299,-0.016906,0.011866
20130328,0.022212,0.008401,0.002855,-0.042125,0.116385,0.051653,0.040484,0.006253,-0.061284,0.062092,0.045738,0.071213,0.03952,0.044465,0.028957,0.00638,0.013428,0.054439,0.05679,0.06386
20130430,-0.01505,-0.047581,0.000271,0.10399,0.064764,0.046736,0.106338,-0.012429,0.085575,-0.050445,0.096863,0.045382,0.024576,0.063348,0.15714,0.141536,0.073266,0.007276,-0.080467,0.038621
20130531,0.059163,0.060636,0.022596,0.092779,0.088557,-0.05528,0.003819,0.023711,-0.123195,0.031747,0.023173,-0.004576,-0.046994,-0.006383,0.061329,0.047114,0.056282,-0.05504,0.029677,-0.031009
20130628,-0.008343,0.031538,-0.118303,-0.026578,0.034539,0.010002,0.00111,-0.001326,0.02185,-0.08129,-0.002059,0.019957,0.025163,0.003854,-0.010172,-0.067006,-0.029717,0.028645,-0.098039,-0.004677
20130731,0.073891,0.084735,0.141225,0.137024,0.025966,-0.000748,0.023753,0.037631,0.4791,0.020564,-0.036938,0.088982,-0.009293,0.037029,-0.078304,0.158198,0.028134,0.052124,0.145888,0.046315
20130830,-0.027378,-0.067193,0.083389,-0.032129,-0.006613,-0.047405,-0.059087,-0.063573,0.12212,-0.060603,-0.048425,-0.06877,-0.030078,-0.018269,0.056219,0.161262,0.027018,-0.034896,0.122971,-0.057608
20130930,0.051329,0.112677,-0.021481,0.13439,0.130677,-0.000524,0.060168,-0.01285,0.2164,0.015965,0.042812,0.00324,0.019606,0.015838,-0.003593,0.089113,0.054915,0.018256,0.056585,0.013428
20131031,0.053932,0.164374,0.096386,-0.04116,0.110638,0.044615,0.063576,0.041609,-0.000498,-0.032239,0.06758,0.068289,0.003222,-0.05291,0.063852,0.042916,-0.023843,0.068233,0.027933,0.037723
20131129,0.065912,0.081285,0.069673,-0.013887,0.032452,0.022744,0.02843,0.0501,-0.063639,0.007924,-0.016551,0.029263,0.017199,0.105123,0.084875,0.134334,0.032655,0.041877,-0.023801,0.055505
20131231,0.050483,0.013135,0.008902,0.003427,0.016685,0.027868,0.095265,0.082584,0.162497,0.043911,0.088716,-0.032432,-0.003492,0.013245,-0.018883,0.006479,0.026923,-0.034668,0.059512,-0.022837
20140131,-0.085989,-0.100554,-0.107697,-0.096798,-0.082277,-0.084483,-0.049607,-0.089328,0.144943,-0.058058,-0.054517,-0.034065,-0.029475,0.058342,0.011494,0.111796,-0.019975,-0.007509,0.096757,-0.050959
20140228,0.057688,0.009507,0.057311,0.017842,0.035047,0.010048,0.112932,0.051432,0.094135,0.05343,0.018134,0.048717,0.019008,0.075892,0.01982,0.088682,0.176115,0.064803,0.030398,0.000268
20140331,0.006903,-0.071072,0.019953,0.083817,-0.026606,0.020026,-0.009157,0.014646,-0.12007,0.039531,0.042569,0.066327,0.030268,0.00386,0.069956,-0.21004,-0.025571,0.000311,-0.084656,0.029585
20140430,0.025284,-0.095833,0.099396,-0.119174,0.02813,0.055096,-0.009117,0.048423,-0.007636,0.020676,0.033935,0.031151,0.034173,0.031531,-0.014394,-0.085192,0.031267,-0.026152,-0.095288,0.042915
20140530,0.031023,0.027685,0.078293,0.055166,0.053945,0.002942,0.058861,-0.01162,0.058883,-0.056039,0.032034,0.008589,0.008483,-0.011954,0.020297,0.297447,0.033297,-0.044437,0.018974,-0.030862
20140630,0.00484,0.03913,0.027662,0.08605,-0.059298,0.042899,0.020593,0.001492,0.063033,-0.016761,0.13104,0.031145,-0.006803,0.007432,0.018564,0.054496,-0.02421,0.001688,0.103553,-0.022144
20140731,-0.016406,-0.036302,0.028731,0.009542,-0.053054,-0.072474,0.001633,-0.017282,0.079655,0.057373,0.096764,-0.0433,-0.061346,-0.019187,0.035012,-0.040581,-0.056095,-0.024259,-0.065944,-0.019848
20140829,0.028143,0.08323,0.077092,0.020816,0.058516,0.061848,0.046577,0.01223,0.029869,0.009026,0.037032,0.043361,-0.000317,0.059394,0.059082,0.129921,0.116286,0.024042,0.089217,0.032618
20140930,-0.016111,-0.048962,-0.017073,0.02809,0.004574,0.029842,-0.009457,-0.054394,0.056402,-0.012845,-0.002864,0.027572,0.01163,-0.006488,0.020471,-0.055397,-0.051414,0.006125,-0.0264,0.012848
20141031,0.085333,-0.052661,0.07196,0.008703,-0.019391,-0.018284,0.026396,0.028283,-0.05124,-0.133962,-0.023263,0.011164,-0.011391,-0.022605,0.012726,-0.129461,0.059079,0.012851,0.112289,-0.002615
20141128,0.046661,0.108623,0.105556,0.060193,0.081499,0.077722,0.012366,-0.056664,0.036138,-0.006873,0.101882,0.010855,0.041929,0.042458,0.02492,-0.117575,0.077533,0.048748,-0.064385,0.147765
20141231,0.026423,-0.08354,-0.071891,0.020344,-0.032599,-0.05822,0.030591,0.021096,0.004118,-0.010668,-0.025772,-0.033995,-0.032125,-0.052318,-0.028446,-0.014369,-0.043872,0,-0.009354,-0.01348
20150130,-0.012293,0.142355,0.061424,-0.036075,0.118403,-0.02487,-0.034292,-0.054408,-0.027044,-0.04444,-0.089556,-0.042364,-0.013447,0.061454,-0.130248,0.293288,-0.042145,0.00321,-0.048221,-0.01048
20150227,0.04544,0.072293,0.100461,0.035982,0.043957,0.051737,0.144239,0.020705,0.040311,0.063466,0.01362,0.030657,0.079078,-0.028865,0.093069,0.074943,0.153085,0.1072,0.229052,-0.012356
20150331,-0.021939,-0.021202,-0.031372,-0.061757,-0.005104,-0.055889,0.007782,-0.039982,0.041091,-0.008892,-0.059549,-0.018632,-0.014762,-0.01042,-0.072862,-0.122592,-0.051451,0.013695,-0.037042,-0.014178
20150430,-0.051895,0.133512,0.005786,0.067012,-0.044909,0.000247,0.036514,0.027882,-0.041902,0.067227,0.040934,-0.013917,-0.009134,0.036187,0.196409,0.335525,0.060693,-0.02472,0.089957,-0.051064
20150529,0.023755,0.017663,0.045146,0.049141,-0.013325,0.009862,0.015177,-0.016482,0.005332,-0.001985,0.066052,0.017036,0.002382,0.02233,-0.030222,0.121402,0.001464,0.03242,-0.000961,-0.042153
20150630,-0.030048,0.011323,-0.037266,-0.072752,-0.01281,-0.03418,0.034158,-0.023474,0.083028,-0.041202,-0.117382,-0.026763,-0.008965,-0.057645,-0.057832,0.052687,-0.091279,-0.035108,-0.042887,-0.044971
